isoform,ref_enst,structural_category
PB.10032.9,ENST00000269122.8,full-splice_match
PB.10033.1,ENST00000393038.3,full-splice_match
PB.10033.2,ENST00000393038.3,full-splice_match
PB.10033.3,ENST00000409433.2,full-splice_match
PB.10035.1,ENST00000262291.9,full-splice_match
PB.10035.5,ENST00000262291.9,full-splice_match
PB.10036.1,ENST00000325752.8,full-splice_match
PB.10036.3,ENST00000325752.8,full-splice_match
PB.10037.1,ENST00000305783.13,full-splice_match
PB.10037.2,ENST00000466544.5,full-splice_match
PB.10038.1,ENST00000184956.11,full-splice_match
PB.10038.3,ENST00000184956.11,full-splice_match
PB.10038.4,ENST00000184956.11,full-splice_match
PB.10039.1,ENST00000300896.9,full-splice_match
PB.10039.3,ENST00000300896.9,full-splice_match
PB.1004.1,ENST00000235382.7,full-splice_match
PB.10040.1,ENST00000225577.9,full-splice_match
PB.10040.2,ENST00000225577.9,full-splice_match
PB.10040.3,ENST00000225577.9,full-splice_match
PB.10041.1,ENST00000305921.8,full-splice_match
PB.10041.2,ENST00000305921.8,full-splice_match
PB.10041.3,ENST00000305921.8,full-splice_match
PB.10041.4,ENST00000305921.8,full-splice_match
PB.10042.1,ENST00000083182.8,full-splice_match
PB.10042.2,ENST00000083182.8,full-splice_match
PB.10042.3,ENST00000083182.8,full-splice_match
PB.10043.2,ENST00000647009.1,full-splice_match
PB.10043.3,ENST00000251334.7,full-splice_match
PB.10043.4,ENST00000251334.7,full-splice_match
PB.10043.5,ENST00000251334.7,full-splice_match
PB.10043.6,ENST00000251334.7,full-splice_match
PB.10045.1,ENST00000311506.10,full-splice_match
PB.10045.2,ENST00000311506.10,full-splice_match
PB.10045.3,ENST00000311506.10,full-splice_match
PB.10045.4,ENST00000333483.14,full-splice_match
PB.10045.5,ENST00000333483.14,full-splice_match
PB.10045.7,ENST00000333483.14,full-splice_match
PB.10046.3,ENST00000346027.10,full-splice_match
PB.10046.4,ENST00000683536.1,incomplete-splice_match
PB.10046.5,ENST00000684133.1,incomplete-splice_match
PB.10046.6,ENST00000580203.1,full-splice_match
PB.10047.1,ENST00000303375.10,full-splice_match
PB.10048.1,ENST00000397786.7,incomplete-splice_match
PB.10048.2,ENST00000397786.7,incomplete-splice_match
PB.1005.11,ENST00000367455.8,full-splice_match
PB.1005.12,ENST00000367454.6,full-splice_match
PB.1005.13,ENST00000367451.8,full-splice_match
PB.1005.14,ENST00000367451.8,full-splice_match
PB.1005.15,ENST00000367454.6,full-splice_match
PB.1005.16,ENST00000367454.6,full-splice_match
PB.1005.17,ENST00000367449.5,full-splice_match
PB.1005.19,ENST00000458806.1,full-splice_match
PB.1005.2,ENST00000367454.6,full-splice_match
PB.1005.3,ENST00000367454.6,full-splice_match
PB.1005.5,ENST00000367455.8,full-splice_match
PB.1005.6,ENST00000367450.7,full-splice_match
PB.1005.7,ENST00000367454.6,full-splice_match
PB.1005.8,ENST00000367455.8,full-splice_match
PB.10050.1,ENST00000290866.10,full-splice_match
PB.10050.2,ENST00000290866.10,full-splice_match
PB.10051.1,ENST00000614556.5,full-splice_match
PB.10051.2,ENST00000614556.5,full-splice_match
PB.10051.3,ENST00000614556.5,full-splice_match
PB.10051.4,ENST00000614556.5,full-splice_match
PB.10051.5,ENST00000431926.7,full-splice_match
PB.10051.6,ENST00000614556.5,full-splice_match
PB.10051.7,ENST00000614556.5,full-splice_match
PB.10052.1,ENST00000258975.7,full-splice_match
PB.10053.1,ENST00000360793.8,full-splice_match
PB.10053.3,ENST00000360793.8,full-splice_match
PB.10053.4,ENST00000360793.8,full-splice_match
PB.10054.2,ENST00000336174.12,full-splice_match
PB.10054.4,ENST00000638708.1,full-splice_match
PB.10055.1,ENST00000577395.5,incomplete-splice_match
PB.10055.2,ENST00000361733.8,incomplete-splice_match
PB.10056.1,ENST00000225726.10,full-splice_match
PB.10056.2,ENST00000225726.10,full-splice_match
PB.10056.3,ENST00000225726.10,full-splice_match
PB.10056.4,ENST00000225726.10,full-splice_match
PB.10056.5,ENST00000225726.10,full-splice_match
PB.10056.6,ENST00000582252.1,full-splice_match
PB.10056.7,ENST00000582252.1,incomplete-splice_match
PB.10057.1,ENST00000583590.5,full-splice_match
PB.10057.3,ENST00000389924.7,incomplete-splice_match
PB.10057.4,ENST00000578681.5,full-splice_match
PB.10057.5,ENST00000389924.7,full-splice_match
PB.10057.6,ENST00000389924.7,full-splice_match
PB.10057.7,ENST00000578681.5,incomplete-splice_match
PB.10058.1,ENST00000427159.7,full-splice_match
PB.10058.2,ENST00000427159.7,full-splice_match
PB.10058.3,ENST00000427159.7,incomplete-splice_match
PB.10058.4,ENST00000427159.7,full-splice_match
PB.10059.3,ENST00000579788.6,full-splice_match
PB.1006.1,ENST00000400968.7,full-splice_match
PB.1006.2,ENST00000367446.7,full-splice_match
PB.1006.5,ENST00000367441.1,incomplete-splice_match
PB.10060.1,ENST00000433197.4,full-splice_match
PB.10061.1,ENST00000584379.6,full-splice_match
PB.10061.2,ENST00000583501.1,full-splice_match
PB.10061.3,ENST00000584379.6,full-splice_match
PB.10061.6,ENST00000584379.6,incomplete-splice_match
PB.10062.1,ENST00000563924.6,incomplete-splice_match
PB.10063.12,ENST00000563924.6,full-splice_match
PB.10063.13,ENST00000563924.6,full-splice_match
PB.10063.2,ENST00000563924.6,full-splice_match
PB.10063.5,ENST00000563924.6,full-splice_match
PB.10063.7,ENST00000563924.6,full-splice_match
PB.10063.8,ENST00000563924.6,full-splice_match
PB.10064.1,ENST00000539111.7,full-splice_match
PB.10065.1,ENST00000310144.11,full-splice_match
PB.10065.2,ENST00000375812.8,full-splice_match
PB.10066.1,ENST00000585111.2,full-splice_match
PB.10066.10,ENST00000585111.2,full-splice_match
PB.10066.12,ENST00000581230.5,incomplete-splice_match
PB.10066.13,ENST00000581230.5,incomplete-splice_match
PB.10066.2,ENST00000225792.10,full-splice_match
PB.10066.5,ENST00000225792.10,full-splice_match
PB.10066.7,ENST00000450599.7,full-splice_match
PB.10066.8,ENST00000578804.5,full-splice_match
PB.10066.9,ENST00000581230.5,full-splice_match
PB.10067.1,ENST00000262435.14,incomplete-splice_match
PB.10067.2,ENST00000582081.5,incomplete-splice_match
PB.10067.3,ENST00000578386.5,incomplete-splice_match
PB.10067.4,ENST00000262435.14,full-splice_match
PB.10068.1,ENST00000687667.2,full-splice_match
PB.10069.1,ENST00000439174.7,full-splice_match
PB.10069.2,ENST00000439174.7,full-splice_match
PB.10070.2,ENST00000307078.10,full-splice_match
PB.10070.4,ENST00000618960.4,full-splice_match
PB.10071.1,ENST00000556440.7,full-splice_match
PB.10072.1,ENST00000413366.8,full-splice_match
PB.10073.1,ENST00000535342.7,full-splice_match
PB.10073.3,ENST00000535342.7,full-splice_match
PB.10073.6,ENST00000706796.1,incomplete-splice_match
PB.10074.1,ENST00000358691.10,incomplete-splice_match
PB.10075.1,ENST00000358691.10,full-splice_match
PB.10075.3,ENST00000358691.10,incomplete-splice_match
PB.10075.4,ENST00000358691.10,incomplete-splice_match
PB.10075.5,ENST00000417253.7,full-splice_match
PB.10076.1,ENST00000413366.8,incomplete-splice_match
PB.10078.2,ENST00000253247.9,full-splice_match
PB.10078.3,ENST00000253247.9,full-splice_match
PB.10078.4,ENST00000253247.9,incomplete-splice_match
PB.10078.5,ENST00000253247.9,full-splice_match
PB.10079.4,ENST00000356126.8,full-splice_match
PB.10079.5,ENST00000356126.8,full-splice_match
PB.10079.6,ENST00000356126.8,full-splice_match
PB.10079.7,ENST00000356126.8,full-splice_match
PB.10079.8,ENST00000356126.8,full-splice_match
PB.10079.9,ENST00000356126.8,full-splice_match
PB.10080.1,ENST00000424123.7,incomplete-splice_match
PB.10080.2,ENST00000342579.8,incomplete-splice_match
PB.10081.1,ENST00000330459.8,full-splice_match
PB.10081.2,ENST00000330459.8,full-splice_match
PB.10081.3,ENST00000330459.8,full-splice_match
PB.10082.1,ENST00000449250.3,incomplete-splice_match
PB.10083.1,ENST00000692407.1,full-splice_match
PB.10083.3,ENST00000692407.1,incomplete-splice_match
PB.10083.4,ENST00000620266.1,full-splice_match
PB.10085.1,ENST00000392720.6,full-splice_match
PB.10085.2,ENST00000359904.8,full-splice_match
PB.10085.3,ENST00000359904.8,full-splice_match
PB.10087.2,ENST00000448504.6,full-splice_match
PB.10087.3,ENST00000448504.6,full-splice_match
PB.10087.5,ENST00000621439.5,full-splice_match
PB.10088.13,ENST00000262139.10,incomplete-splice_match
PB.10089.1,ENST00000592554.2,full-splice_match
PB.10090.3,ENST00000586539.6,full-splice_match
PB.10090.6,ENST00000269080.6,incomplete-splice_match
PB.10091.1,ENST00000340001.9,full-splice_match
PB.10091.2,ENST00000453985.6,incomplete-splice_match
PB.10092.1,ENST00000284425.7,incomplete-splice_match
PB.10092.3,ENST00000284425.7,full-splice_match
PB.10092.4,ENST00000284425.7,incomplete-splice_match
PB.10092.7,ENST00000284425.7,full-splice_match
PB.10092.8,ENST00000284425.7,incomplete-splice_match
PB.10092.9,ENST00000284425.7,incomplete-splice_match
PB.10093.1,ENST00000392676.8,full-splice_match
PB.10093.2,ENST00000392676.8,full-splice_match
PB.10093.3,ENST00000392676.8,full-splice_match
PB.10094.1,ENST00000358598.6,full-splice_match
PB.10094.10,ENST00000589017.6,full-splice_match
PB.10094.11,ENST00000358598.6,full-splice_match
PB.10094.12,ENST00000358598.6,full-splice_match
PB.10094.14,ENST00000358598.6,full-splice_match
PB.10094.15,ENST00000589017.6,full-splice_match
PB.10094.16,ENST00000589017.6,full-splice_match
PB.10094.17,ENST00000589228.6,full-splice_match
PB.10094.18,ENST00000589228.6,full-splice_match
PB.10094.20,ENST00000536854.6,full-splice_match
PB.10094.21,ENST00000536854.6,full-splice_match
PB.10094.22,ENST00000536854.6,full-splice_match
PB.10094.23,ENST00000589228.6,full-splice_match
PB.10094.24,ENST00000392711.5,full-splice_match
PB.10094.25,ENST00000589228.6,full-splice_match
PB.10094.28,ENST00000589228.6,full-splice_match
PB.10094.29,ENST00000392711.5,full-splice_match
PB.10094.3,ENST00000358598.6,full-splice_match
PB.10094.31,ENST00000589228.6,full-splice_match
PB.10094.32,ENST00000589228.6,full-splice_match
PB.10094.33,ENST00000536854.6,full-splice_match
PB.10094.34,ENST00000392711.5,full-splice_match
PB.10094.36,ENST00000392711.5,full-splice_match
PB.10094.38,ENST00000589480.6,full-splice_match
PB.10094.43,ENST00000589480.6,full-splice_match
PB.10094.46,ENST00000589480.6,incomplete-splice_match
PB.10094.47,ENST00000589480.6,incomplete-splice_match
PB.10094.48,ENST00000586397.5,incomplete-splice_match
PB.10094.8,ENST00000358598.6,full-splice_match
PB.10094.9,ENST00000358598.6,full-splice_match
PB.10095.1,ENST00000590966.2,full-splice_match
PB.10095.2,ENST00000590966.2,full-splice_match
PB.10095.3,ENST00000590966.2,full-splice_match
PB.10097.1,ENST00000243457.4,full-splice_match
PB.10097.2,ENST00000243457.4,full-splice_match
PB.10097.3,ENST00000243457.4,full-splice_match
PB.10098.2,ENST00000668782.1,full-splice_match
PB.10099.2,ENST00000245479.3,full-splice_match
PB.10099.3,ENST00000245479.3,full-splice_match
PB.101.3,ENST00000196061.5,full-splice_match
PB.1010.1,ENST00000367435.5,full-splice_match
PB.1010.10,ENST00000367435.5,full-splice_match
PB.1010.11,ENST00000367435.5,full-splice_match
PB.1010.12,ENST00000367435.5,full-splice_match
PB.1010.13,ENST00000649613.1,full-splice_match
PB.1010.14,ENST00000649613.1,full-splice_match
PB.1010.15,ENST00000649613.1,full-splice_match
PB.1010.2,ENST00000367435.5,full-splice_match
PB.1010.3,ENST00000649895.1,incomplete-splice_match
PB.1010.4,ENST00000367435.5,full-splice_match
PB.1010.5,ENST00000367435.5,full-splice_match
PB.1010.6,ENST00000367435.5,full-splice_match
PB.1010.7,ENST00000367435.5,full-splice_match
PB.1010.8,ENST00000367435.5,full-splice_match
PB.1010.9,ENST00000643006.1,full-splice_match
PB.10100.1,ENST00000255559.8,full-splice_match
PB.10101.11,ENST00000299886.9,full-splice_match
PB.10101.13,ENST00000438720.7,full-splice_match
PB.10101.2,ENST00000438720.7,full-splice_match
PB.10101.3,ENST00000299886.9,incomplete-splice_match
PB.10101.4,ENST00000438720.7,full-splice_match
PB.10101.8,ENST00000299886.9,full-splice_match
PB.10102.1,ENST00000581110.1,full-splice_match
PB.10102.3,ENST00000405159.8,full-splice_match
PB.10102.4,ENST00000403627.7,full-splice_match
PB.10102.5,ENST00000403627.7,full-splice_match
PB.10102.6,ENST00000405159.8,full-splice_match
PB.10103.1,ENST00000577615.5,full-splice_match
PB.10103.2,ENST00000535032.7,full-splice_match
PB.10103.3,ENST00000268942.12,full-splice_match
PB.10103.4,ENST00000359042.6,full-splice_match
PB.10103.5,ENST00000268942.12,full-splice_match
PB.10103.6,ENST00000426147.6,incomplete-splice_match
PB.10103.7,ENST00000359042.6,full-splice_match
PB.10104.1,ENST00000335793.4,full-splice_match
PB.10104.2,ENST00000580315.1,full-splice_match
PB.10105.1,ENST00000311111.11,full-splice_match
PB.10106.2,ENST00000269346.9,full-splice_match
PB.10106.5,ENST00000529107.5,full-splice_match
PB.10108.2,ENST00000652232.1,full-splice_match
PB.10108.4,ENST00000652232.1,incomplete-splice_match
PB.10109.1,ENST00000488977.1,full-splice_match
PB.1011.1,ENST00000367434.5,full-splice_match
PB.1011.2,ENST00000367434.5,full-splice_match
PB.1011.3,ENST00000367434.5,full-splice_match
PB.1011.4,ENST00000367434.5,full-splice_match
PB.1011.5,ENST00000367434.5,full-splice_match
PB.10111.1,ENST00000262613.10,full-splice_match
PB.10111.2,ENST00000262613.10,full-splice_match
PB.10112.1,ENST00000580301.5,full-splice_match
PB.10113.1,ENST00000293195.10,full-splice_match
PB.10114.1,ENST00000335464.10,full-splice_match
PB.10114.2,ENST00000335464.10,full-splice_match
PB.10115.1,ENST00000337231.5,full-splice_match
PB.10116.3,ENST00000425042.7,full-splice_match
PB.10117.1,ENST00000301585.10,full-splice_match
PB.10118.1,ENST00000322444.7,full-splice_match
PB.10119.1,ENST00000580123.5,full-splice_match
PB.10119.2,ENST00000580123.5,incomplete-splice_match
PB.10119.4,ENST00000450736.6,full-splice_match
PB.10119.5,ENST00000578376.5,full-splice_match
PB.10119.6,ENST00000329783.9,incomplete-splice_match
PB.10119.7,ENST00000329783.9,full-splice_match
PB.1012.1,ENST00000367405.5,incomplete-splice_match
PB.1012.2,ENST00000367405.5,full-splice_match
PB.1012.3,ENST00000367405.5,full-splice_match
PB.1012.4,ENST00000367405.5,full-splice_match
PB.10120.1,ENST00000301587.9,full-splice_match
PB.10122.1,ENST00000245543.6,full-splice_match
PB.10123.1,ENST00000420826.7,full-splice_match
PB.10123.2,ENST00000420826.7,full-splice_match
PB.10123.3,ENST00000420826.7,full-splice_match
PB.10124.1,ENST00000245544.9,full-splice_match
PB.10125.1,ENST00000537686.6,full-splice_match
PB.10125.2,ENST00000621870.4,full-splice_match
PB.10125.4,ENST00000538886.5,full-splice_match
PB.10125.6,ENST00000537686.6,full-splice_match
PB.10125.7,ENST00000538886.5,full-splice_match
PB.10125.8,ENST00000537686.6,full-splice_match
PB.10126.1,ENST00000245539.11,full-splice_match
PB.10126.2,ENST00000579002.5,full-splice_match
PB.10126.3,ENST00000245539.11,full-splice_match
PB.10127.1,ENST00000618645.5,full-splice_match
PB.10127.2,ENST00000325102.13,full-splice_match
PB.10128.2,ENST00000580994.5,full-splice_match
PB.10128.3,ENST00000416858.7,full-splice_match
PB.10129.1,ENST00000585075.1,full-splice_match
PB.1013.1,ENST00000620048.6,incomplete-splice_match
PB.10130.1,ENST00000316804.10,full-splice_match
PB.10130.2,ENST00000392564.5,full-splice_match
PB.10130.4,ENST00000316804.10,full-splice_match
PB.10130.5,ENST00000392564.5,full-splice_match
PB.10130.6,ENST00000316804.10,full-splice_match
PB.10130.7,ENST00000392564.5,full-splice_match
PB.10130.8,ENST00000392564.5,full-splice_match
PB.10130.9,ENST00000316804.10,full-splice_match
PB.10131.2,ENST00000580918.2,full-splice_match
PB.10131.3,ENST00000578853.2,full-splice_match
PB.10131.5,ENST00000314256.12,full-splice_match
PB.10131.6,ENST00000580918.2,full-splice_match
PB.10131.8,ENST00000314256.12,full-splice_match
PB.10132.1,ENST00000321617.8,full-splice_match
PB.10132.6,ENST00000321617.8,full-splice_match
PB.10133.1,ENST00000333213.11,full-splice_match
PB.10134.2,ENST00000584667.6,full-splice_match
PB.10134.3,ENST00000584667.6,full-splice_match
PB.10135.1,ENST00000317905.10,incomplete-splice_match
PB.10135.2,ENST00000317905.10,full-splice_match
PB.10135.3,ENST00000340830.9,full-splice_match
PB.10136.1,ENST00000588479.6,full-splice_match
PB.10137.1,ENST00000450894.7,full-splice_match
PB.10137.2,ENST00000449880.7,full-splice_match
PB.10138.1,ENST00000254810.8,full-splice_match
PB.10138.2,ENST00000254810.8,full-splice_match
PB.10138.3,ENST00000254810.8,full-splice_match
PB.10138.4,ENST00000254810.8,full-splice_match
PB.10138.5,ENST00000254810.8,full-splice_match
PB.10138.6,ENST00000254810.8,full-splice_match
PB.10138.7,ENST00000254810.8,full-splice_match
PB.10139.1,ENST00000207549.9,full-splice_match
PB.1014.1,ENST00000367429.9,full-splice_match
PB.1014.2,ENST00000695971.1,full-splice_match
PB.1014.3,ENST00000367429.9,full-splice_match
PB.1014.4,ENST00000630130.2,full-splice_match
PB.1014.5,ENST00000695969.1,incomplete-splice_match
PB.10140.1,ENST00000254806.8,full-splice_match
PB.10140.2,ENST00000433525.6,full-splice_match
PB.10140.3,ENST00000626827.2,full-splice_match
PB.10141.1,ENST00000254816.6,full-splice_match
PB.10142.1,ENST00000269383.8,full-splice_match
PB.10143.1,ENST00000309352.4,full-splice_match
PB.10144.10,ENST00000293217.10,full-splice_match
PB.10144.11,ENST00000293217.10,full-splice_match
PB.10144.12,ENST00000293217.10,full-splice_match
PB.10144.13,ENST00000293217.10,full-splice_match
PB.10144.14,ENST00000301608.9,full-splice_match
PB.10144.15,ENST00000293217.10,full-splice_match
PB.10144.16,ENST00000293217.10,full-splice_match
PB.10144.17,ENST00000301608.9,full-splice_match
PB.10144.18,ENST00000293217.10,full-splice_match
PB.10144.19,ENST00000301608.9,full-splice_match
PB.10144.4,ENST00000293217.10,full-splice_match
PB.10144.8,ENST00000293217.10,full-splice_match
PB.10145.1,ENST00000307877.7,full-splice_match
PB.10145.2,ENST00000592704.5,full-splice_match
PB.10145.4,ENST00000307877.7,full-splice_match
PB.10145.5,ENST00000307877.7,full-splice_match
PB.10146.10,ENST00000332065.9,full-splice_match
PB.10146.11,ENST00000589210.6,full-splice_match
PB.10146.12,ENST00000332065.9,full-splice_match
PB.10146.13,ENST00000634349.1,full-splice_match
PB.10146.14,ENST00000607838.5,full-splice_match
PB.10146.15,ENST00000589210.6,full-splice_match
PB.10146.16,ENST00000332065.9,full-splice_match
PB.10146.17,ENST00000589210.6,full-splice_match
PB.10146.18,ENST00000589210.6,full-splice_match
PB.10146.19,ENST00000332065.9,full-splice_match
PB.10146.2,ENST00000607838.5,full-splice_match
PB.10146.20,ENST00000634349.1,full-splice_match
PB.10146.21,ENST00000589210.6,full-splice_match
PB.10146.22,ENST00000607838.5,full-splice_match
PB.10146.24,ENST00000405068.3,full-splice_match
PB.10146.25,ENST00000405068.3,full-splice_match
PB.10146.7,ENST00000411744.6,full-splice_match
PB.10146.8,ENST00000589210.6,full-splice_match
PB.10146.9,ENST00000634349.1,full-splice_match
PB.10147.2,ENST00000589666.6,full-splice_match
PB.10148.1,ENST00000446526.8,full-splice_match
PB.10148.2,ENST00000446526.8,full-splice_match
PB.10148.3,ENST00000446526.8,full-splice_match
PB.10149.1,ENST00000319380.12,full-splice_match
PB.10149.2,ENST00000319380.12,full-splice_match
PB.1015.10,ENST00000367385.9,full-splice_match
PB.1015.19,ENST00000367385.9,full-splice_match
PB.1015.2,ENST00000367385.9,full-splice_match
PB.1015.26,ENST00000367385.9,full-splice_match
PB.1015.29,ENST00000367385.9,full-splice_match
PB.10150.1,ENST00000592299.6,full-splice_match
PB.10150.2,ENST00000323374.8,full-splice_match
PB.10150.3,ENST00000392496.3,full-splice_match
PB.10151.2,ENST00000675367.1,full-splice_match
PB.10151.4,ENST00000313080.8,full-splice_match
PB.10152.1,ENST00000225276.10,full-splice_match
PB.10153.1,ENST00000670737.3,full-splice_match
PB.10153.2,ENST00000661348.3,full-splice_match
PB.10153.3,ENST00000661348.3,full-splice_match
PB.10153.4,ENST00000670737.3,full-splice_match
PB.10154.1,ENST00000156626.12,full-splice_match
PB.10155.2,ENST00000589082.1,full-splice_match
PB.10156.1,ENST00000565271.1,full-splice_match
PB.10157.1,ENST00000445478.6,full-splice_match
PB.10157.4,ENST00000445478.6,full-splice_match
PB.10157.5,ENST00000445478.6,full-splice_match
PB.10157.6,ENST00000445478.6,full-splice_match
PB.10157.7,ENST00000445478.6,full-splice_match
PB.10157.8,ENST00000397625.9,full-splice_match
PB.10158.1,ENST00000341249.11,full-splice_match
PB.10159.10,ENST00000590514.5,full-splice_match
PB.10159.6,ENST00000621483.4,full-splice_match
PB.10159.7,ENST00000685175.1,full-splice_match
PB.10159.8,ENST00000685175.1,full-splice_match
PB.10159.9,ENST00000590514.5,full-splice_match
PB.1016.12,ENST00000367396.7,full-splice_match
PB.1016.2,ENST00000620048.6,full-splice_match
PB.10160.1,ENST00000434411.6,full-splice_match
PB.10161.5,ENST00000436233.9,full-splice_match
PB.10161.6,ENST00000443798.8,full-splice_match
PB.10162.1,ENST00000427177.6,full-splice_match
PB.10162.2,ENST00000449803.6,full-splice_match
PB.10162.3,ENST00000329047.13,full-splice_match
PB.10162.4,ENST00000423034.6,full-splice_match
PB.10162.6,ENST00000541152.6,full-splice_match
