gene,chrom,strand,start,end,n_tx,plot_start,plot_end,span
ABCD2,chr12,-,39550354,39619829,11,39548354,39621829,73475
ABCD3,chr1,+,94418095,94518662,9,94416095,94520662,104567
ABCD4,chr14,-,74285973,74302973,5,74283973,74304973,21000
ABCE1,chr4,+,145098287,145129514,9,145096287,145131514,35227
ABCF1,chr6,+,30571451,30591522,3,30569451,30593522,24071
ABCF2,chr7,-,151211491,151227249,7,151209491,151229249,19758
ABCF3,chr3,+,184186188,184194811,5,184184188,184196811,12623
ABCG1,chr21,+,42219140,42297242,2,42217140,42299242,82102
ABCG2,chr4,-,88089328,88231426,5,88087328,88233426,146098
ABHD10,chr3,+,111979031,111993366,2,111977031,111995366,18335
ABHD11,chr7,-,73736097,73738882,4,73734097,73740882,6785
ABHD12,chr20,-,25294744,25390818,5,25292744,25392818,100074
ABHD13,chr13,+,108218390,108234254,4,108216390,108236254,19864
ABHD14A,chr3,+,51975064,51981194,1,51973064,51983194,10130
ABHD15,chr17,-,29560673,29567039,3,29558673,29569039,10366
ABHD16A,chr6,-,31686959,31703339,3,31684959,31705339,20380
ABHD17B,chr9,-,71865153,71911194,3,71863153,71913194,50041
ABHD18,chr4,+,127965267,128037118,14,127963267,128039118,75851
ABHD2,chr15,+,89088456,89202355,17,89086456,89204355,117899
ABHD3,chr18,-,21650898,21704878,2,21648898,21706878,57980
ABHD4,chr14,+,22598263,22612957,4,22596263,22614957,18694
ABHD5,chr3,+,43690896,43721562,10,43688896,43723562,34666
ABHD6,chr3,+,58237568,58294732,3,58235568,58296732,61164
ABHD8,chr19,-,17292132,17303398,1,17290132,17305398,15266
ABI1,chr10,-,26746598,26861030,15,26744598,26863030,118432
ABI2,chr2,+,203328252,203432168,44,203326252,203434168,107916
ABI3,chr17,+,49210707,49223225,1,49208707,49225225,16518
ABI3BP,chr3,-,100749337,100993488,3,100747337,100995488,248151
ABITRAM,chr9,+,108933985,108941617,3,108931985,108943617,11632
ABL1,chr9,+,130712846,130887673,4,130710846,130889673,178827
ABL2,chr1,-,179102032,179105824,1,179100032,179107824,7792
ABLIM1,chr10,-,114431103,114768304,97,114429103,114770304,341201
ABLIM2,chr4,-,7965314,8158839,12,7963314,8160839,197525
ABLIM3,chr5,+,149141379,149260436,13,149139379,149262436,123057
ABR,chr17,-,1003520,1187323,18,1001520,1189323,187803
ABRA,chr8,-,106759008,106770244,6,106757008,106772244,15236
ABRAXAS1,chr4,-,83460945,83485105,2,83458945,83487105,28160
ABRAXAS2,chr10,+,124801808,124836667,1,124799808,124838667,38859
ABT1,chr6,+,26596976,26600754,2,26594976,26602754,7778
ABTB1,chr3,+,127672931,127680922,5,127670931,127682922,11991
ABTB2,chr11,-,34150995,34358008,1,34148995,34360008,211013
ACAA1,chr3,-,38122716,38137100,1,38120716,38139100,18384
ACAA2,chr18,-,49781712,49813920,8,49779712,49815920,36208
ACACA,chr17,-,37084993,37359093,1,37082993,37361093,278100
ACACB,chr12,+,109116587,109268223,4,109114587,109270223,155636
ACAD10,chr12,+,111686056,111757106,14,111684056,111759106,75050
ACAD10_ALDH2,chr12,+,111686076,111809976,1,111684076,111811976,127900
ACAD11,chr3,-,132558142,132659992,5,132556142,132661992,105850
ACAD8,chr11,+,134253542,134265943,8,134251542,134267943,16401
ACAD9,chr3,+,128879623,128913852,4,128877623,128915852,38229
ACADL,chr2,-,210187924,210225399,1,210185924,210227399,41475
ACADM,chr1,+,75724388,75763762,13,75722388,75765762,43374
ACADS,chr12,+,120725839,120740007,1,120723839,120742007,18168
ACADSB,chr10,+,123008990,123058289,14,123006990,123060289,53299
ACADVL,chr17,+,7219787,7225265,16,7217787,7227265,9478
ACAP2,chr3,-,195274746,195443043,6,195272746,195445043,172297
ACAP3,chr1,-,1292368,1307909,7,1290368,1309909,19541
ACAT1,chr11,+,108121546,108149050,5,108119546,108151050,31504
ACAT1_CUL5,chr11,+,108008908,108147592,1,108006908,108149592,142684
ACAT2,chr6,+,159762004,159779052,1,159760004,159781052,21048
ACBD3,chr1,-,226144681,226186705,4,226142681,226188705,46024
ACBD4,chr17,+,45132613,45144157,2,45130613,45146157,15544
ACBD5,chr10,-,27195220,27242548,19,27193220,27244548,51328
ACBD6,chr1,-,180288231,180502835,1,180286231,180504835,218604
ACD,chr16,-,67657533,67660245,1,67655533,67662245,6712
ACE,chr17,+,63477060,63498371,2,63475060,63500371,25311
ACE2,chrX,-,15494290,15607196,9,15492290,15609196,116906
ACER3,chr11,+,76860862,77023648,7,76858862,77025648,166786
ACHE,chr7,-,100889995,100895885,1,100887995,100897885,9890
ACIN1,chr14,-,23058567,23095139,17,23056567,23097139,40572
ACKR4,chr3,+,132597275,132602181,1,132595275,132604181,8906
ACLY,chr17,-,41866920,41918994,4,41864920,41920994,56074
ACO1,chr9,+,32384625,32452786,7,32382625,32454786,72161
ACO2,chr22,+,41469117,41535288,13,41467117,41537288,70171
ACOT1,chr14,+,73537077,73543793,1,73535077,73545793,10716
ACOT11,chr1,+,54542176,54611399,10,54540176,54613399,73223
ACOT13,chr6,+,24667030,24705307,7,24665030,24707307,42277
ACOT2,chr14,+,73569049,73576414,3,73567049,73578414,11365
ACOT7,chr1,-,6264269,6385766,1,6262269,6387766,125497
ACOT8,chr20,-,45841726,45857392,1,45839726,45859392,19666
ACOT9,chrX,-,23701059,23743276,12,23699059,23745276,46217
ACOX1,chr17,-,75941515,75979459,19,75939515,75981459,41944
ACOX2,chr3,-,58505137,58537393,4,58503137,58539393,36256
ACOX3,chr4,-,8366284,8428475,7,8364284,8430475,66191
ACP1,chr2,+,264900,278288,3,262900,280288,17388
ACP2,chr11,-,47239304,47248805,1,47237304,47250805,13501
ACP6,chr1,-,147647372,147670495,1,147645372,147672495,27123
ACSF2,chr17,+,50426218,50474834,1,50424218,50476834,52616
ACSF3,chr16,+,89093840,89154582,2,89091840,89156582,64742
ACSL1,chr4,-,184755085,184826055,26,184753085,184828055,74970
ACSL3,chr2,+,222861014,222944622,18,222859014,222946622,87608
ACSL4,chrX,-,109641337,109733561,11,109639337,109735561,96224
ACSL5,chr10,+,112376212,112428375,2,112374212,112430375,56163
ACSM3,chr16,+,20674499,20682174,2,20672499,20684174,11675
ACSM5,chr16,+,20409562,20440951,1,20407562,20442951,35389
ACSS1,chr20,-,25003365,25058143,8,25001365,25060143,58778
ACSS2,chr20,+,34876547,34927957,7,34874547,34929957,55410
ACSS3,chr12,+,81077990,81257793,7,81075990,81259793,183803
ACTA1,chr1,-,229431135,229434096,17,229429135,229436096,6961
ACTA2,chr10,-,88935076,88952773,1,88933076,88954773,21697
ACTB,chr7,-,5527156,5530712,6,5525156,5532712,7556
ACTC1,chr15,-,34788053,34795914,10,34786053,34797914,11861
ACTG1,chr17,-,81509973,81512802,9,81507973,81514802,6829
ACTL6A,chr3,+,179562943,179588400,2,179560943,179590400,29457
ACTN1,chr14,-,68874124,68979326,15,68872124,68981326,109202
ACTN2,chr1,+,236686496,236764620,50,236684496,236766620,82124
ACTN4,chr19,+,38647620,38730529,10,38645620,38732529,86909
ACTR10,chr14,+,58200149,58235632,3,58198149,58237632,39483
ACTR1A,chr10,-,102479230,102502714,4,102477230,102504714,27484
ACTR1B,chr2,-,97655968,97664016,2,97653968,97666016,12048
ACTR2,chr2,+,65227785,65271616,17,65225785,65273616,47831
ACTR3,chr2,+,113889925,113961550,12,113887925,113963550,75625
ACTR3B,chr7,+,152759778,152855378,4,152757778,152857378,99600
ACTR5,chr20,+,38748458,38772517,2,38746458,38774517,28059
ACTR6,chr12,+,100200805,100224423,2,100198805,100226423,27618
ACTR8,chr3,-,53865415,53882152,9,53863415,53884152,20737
ACTRT3,chr3,-,169765602,169769746,2,169763602,169771746,8144
ACVR1,chr2,-,157736449,157876337,5,157734449,157878337,143888
ACVR1B,chr12,+,51951701,51997075,2,51949701,51999075,49374
ACVR2A,chr2,+,147844494,147930822,3,147842494,147932822,90328
ACVRL1,chr12,+,51906283,51923361,5,51904283,51925361,21078
ACY1,chr3,+,51983224,51989195,1,51981224,51991195,9971
ACYP2,chr2,+,53971087,54305136,3,53969087,54307136,338049
ADA,chr20,-,44619524,44651734,1,44617524,44653734,36210
ADA2,chr22,-,17178790,17199655,4,17176790,17201655,24865
ADAL,chr15,+,43330625,43354499,13,43328625,43356499,27874
ADAM10,chr15,-,58593198,58750041,9,58591198,58752041,160843
ADAM11,chr17,+,44758996,44781844,3,44756996,44783844,26848
ADAM15,chr1,+,155051279,155062775,9,155049279,155064775,15496
ADAM17,chr2,-,9488494,9555848,9,9486494,9557848,71354
ADAM19,chr5,-,157477305,157575837,2,157475305,157577837,102532
ADAM21,chr14,+,70454979,70459904,1,70452979,70461904,8925
ADAM23,chr2,+,206443384,206621300,9,206441384,206623300,181916
ADAM8,chr10,-,133262423,133276905,1,133260423,133278905,18482
ADAM9,chr8,+,38996789,39105611,16,38994789,39107611,112822
ADAMTS1,chr21,-,26835756,26845409,10,26833756,26847409,13653
ADAMTS15,chr11,+,130448645,130476645,3,130446645,130478645,32000
ADAMTS2,chr5,-,179110859,179345432,2,179108859,179347432,238573
ADAMTS4,chr1,-,161189749,161199053,1,161187749,161201053,13304
ADAMTS5,chr21,-,26921465,26967668,2,26919465,26969668,50203
ADAMTS7,chr15,-,78759210,78811519,3,78757210,78813519,56309
ADAMTS8,chr11,-,130405225,130428396,1,130403225,130430396,27171
ADAMTS9,chr3,-,64515657,64688003,1,64513657,64690003,176346
ADAMTSL1,chr9,+,18474153,18910947,2,18472153,18912947,440794
ADAMTSL3,chr15,+,83654109,84039836,2,83652109,84041836,389727
ADAMTSL4,chr1,+,150549364,150560932,11,150547364,150562932,15568
ADAMTSL5,chr19,-,1503051,1514007,8,1501051,1516007,14956
ADAP1,chr7,-,897902,954608,1,895902,956608,60706
ADAR,chr1,-,154582062,154627993,12,154580062,154629993,49931
ADARB1,chr21,+,45074571,45226559,2,45072571,45228559,155988
ADAT1,chr16,-,75599100,75623281,8,75597100,75625281,28181
ADAT2,chr6,-,143426986,143450721,1,143424986,143452721,27735
ADCK1,chr14,+,77800126,77933950,1,77798126,77935950,137824
ADCK2,chr7,+,140672948,140695109,1,140670948,140697109,26161
ADCK5,chr8,+,144374047,144393236,1,144372047,144395236,23189
ADCY1,chr7,+,45720165,45723108,1,45718165,45725108,6943
ADCY3,chr2,-,24819172,24918334,1,24817172,24920334,103162
ADCY4,chr14,-,24318356,24335076,8,24316356,24337076,20720
ADCY5,chr3,-,123282298,123448046,15,123280298,123450046,169748
ADCY6,chr12,-,48766198,48787843,1,48764198,48789843,25645
ADCY7,chr16,+,50246174,50318132,1,50244174,50320132,75958
ADCY9,chr16,-,3964904,4115269,1,3962904,4117269,154365
ADD1,chr4,+,2843888,2930086,21,2841888,2932086,90198
ADD3,chr10,+,110005792,110135558,14,110003792,110137558,133766
ADGRA3,chr4,-,22387377,22516069,2,22385377,22518069,132692
ADGRD1,chr12,+,130953886,131141461,18,130951886,131143461,191575
ADGRE5,chr19,+,14381109,14408724,7,14379109,14410724,31615
ADGRF5,chr6,-,46852526,46954943,18,46850526,46956943,106417
ADGRG1,chr16,+,57628545,57665032,5,57626545,57667032,40487
ADGRG6,chr6,+,142302043,142446253,1,142300043,142448253,148210
ADGRL2,chr1,+,81800620,81992424,11,81798620,81994424,195804
ADGRL3,chr4,+,61200712,62072436,2,61198712,62074436,875724
ADGRL4,chr1,-,78890476,79006777,2,78888476,79008777,120301
ADH1B,chr4,-,99306025,99321462,6,99304025,99323462,19437
ADH5,chr4,-,99069936,99088713,5,99067936,99090713,22777
ADHFE1,chr8,+,66432483,66475985,11,66430483,66477985,47502
ADI1,chr2,-,3496377,3519531,6,3494377,3521531,27154
ADIPOQ,chr3,+,186842701,186858461,1,186840701,186860461,19760
ADIPOR1,chr1,-,202940642,202958315,7,202938642,202960315,21673
ADIPOR2,chr12,+,1691013,1788678,7,1689013,1790678,101665
ADK,chr10,+,74151207,74722354,11,74149207,74724354,575147
ADM,chr11,+,10305073,10307395,1,10303073,10309395,6322
ADNP,chr20,-,50890346,50930970,1,50888346,50932970,44624
ADNP2,chr18,+,80109323,80140343,2,80107323,80142343,35020
ADO,chr10,+,62804720,62808476,4,62802720,62810476,7756
ADORA1,chr1,+,203127705,203167405,6,203125705,203169405,43700
ADORA2A,chr22,+,24423631,24442351,1,24421631,24444351,22720
ADPGK,chr15,-,72751369,72783748,2,72749369,72785748,36379
ADPRH,chr3,+,119579379,119589944,4,119577379,119591944,14565
ADPRHL1,chr13,-,113400166,113453759,7,113398166,113455759,57593
ADPRS,chr1,+,36088888,36093931,1,36086888,36095931,9043
ADRA1A,chr8,-,26748129,26867278,11,26746129,26869278,123149
ADRA2B,chr2,-,96112881,96116557,3,96110881,96118557,7676
ADRB1,chr10,+,114043829,114046906,4,114041829,114048906,7077
ADRB2,chr5,+,148826611,148878211,4,148824611,148880211,55600
ADRB2_ENSG00000272411,chr5,+,148826611,148970651,2,148824611,148972651,148040
ADRM1,chr20,+,62302066,62308860,1,62300066,62310860,10794
ADSL,chr22,+,40346514,40366979,5,40344514,40368979,24465
ADSS1,chr14,+,104724229,104747308,4,104722229,104749308,27079
ADSS2,chr1,-,244408495,244451921,2,244406495,244453921,47426
AEBP1,chr7,+,44104351,44114559,2,44102351,44116559,14208
AEN,chr15,+,88621316,88632280,1,88619316,88634280,14964
AFAP1,chr4,-,7758885,7939861,1,7756885,7941861,184976
AFAP1L1,chr5,+,149271844,149343608,13,149269844,149345608,75764
AFAP1L2,chr10,-,114294827,114404523,3,114292827,114406523,113696
AFDN,chr6,+,167917205,167972022,6,167915205,167974022,58817
AFF1,chr4,+,86935015,86990775,2,86933015,86992775,59760
AFF3,chr2,-,99547510,100105427,2,99545510,100107427,561917
AFF4,chr5,-,132875379,132963628,5,132873379,132965628,92249
AFG1L,chr6,+,108295066,108525784,4,108293066,108527784,234718
AFG3L2,chr18,-,12328945,12377287,15,12326945,12379287,52342
AFTPH,chr2,+,64524348,64592115,3,64522348,64594115,71767
AGA,chr4,-,177430127,177442463,4,177428127,177444463,16336
AGAP3,chr7,+,151086460,151144436,1,151084460,151146436,61976
AGBL5,chr2,+,27051668,27070613,4,27049668,27072613,22945
AGFG1,chr2,+,227472339,227561213,3,227470339,227563213,92874
AGFG2,chr7,+,100539194,100565987,2,100537194,100567987,30793
AGGF1,chr5,+,77030380,77065209,9,77028380,77067209,38829
AGK,chr7,+,141551235,141655891,6,141549235,141657891,108656
AGL,chr1,+,99849942,99924020,18,99847942,99926020,78078
AGMO,chr7,-,15171163,15547820,1,15169163,15549820,380657
AGO1,chr1,+,35883201,35929609,8,35881201,35931609,50408
AGO2,chr8,-,140520948,140635668,6,140518948,140637668,118720
AGO3,chr1,+,35930701,36056461,5,35928701,36058461,129760
AGO4,chr1,+,35807625,35857879,5,35805625,35859879,54254
AGPAT1,chr6,-,32168206,32177101,5,32166206,32179101,12895
AGPAT2,chr9,-,136673144,136687529,1,136671144,136689529,18385
AGPAT3,chr21,+,43865223,43987139,9,43863223,43989139,125916
AGPAT5,chr8,+,6708632,6759663,2,6706632,6761663,55031
AGPS,chr2,+,177392747,177542049,9,177390747,177544049,153302
AGRN,chr1,+,1046158,1056112,1,1044158,1058112,13954
AGT,chr1,-,230702539,230714122,2,230700539,230716122,15583
AGTPBP1,chr9,-,85546540,85741980,16,85544540,85743980,199440
AGTRAP,chr1,+,11736132,11754801,2,11734132,11756801,22669
AHCTF1,chr1,-,246839377,246931959,8,246837377,246933959,96582
AHCY,chr20,-,34280270,34303357,5,34278270,34305357,27087
AHCYL1,chr1,+,109984786,110022374,2,109982786,110024374,41588
AHDC1,chr1,-,27534303,27604185,4,27532303,27606185,73882
AHNAK,chr11,-,62515903,62546813,11,62513903,62548813,34910
AHNAK2,chr14,-,104953523,104970479,1,104951523,104972479,20956
AHR,chr7,+,17298596,17346127,4,17296596,17348127,51531
AHSA1,chr14,+,77458053,77469464,1,77456053,77471464,15411
AIDA,chr1,-,222668016,222712529,4,222666016,222714529,48513
AIF1L,chr9,+,131096476,131123239,5,131094476,131125239,30763
AIFM1,chrX,-,130129370,130165805,3,130127370,130167805,40435
AIFM2,chr10,-,70098647,70132904,3,70096647,70134904,38257
AIG1,chr6,+,143060854,143341058,13,143058854,143343058,284204
AIG1_ENSG00000217648,chr6,+,143060901,143343590,1,143058901,143345590,286689
AIMP1,chr4,+,106316506,106349417,3,106314506,106351417,36911
AIMP2,chr7,+,6009272,6024635,3,6007272,6026635,19363
AIP,chr11,+,67483128,67491102,1,67481128,67493102,11974
AJUBA,chr14,-,22971180,22982614,2,22969180,22984614,15434
AK1,chr9,-,127866492,127877675,4,127864492,127879675,15183
AK2,chr1,-,33007987,33036891,11,33005987,33038891,32904
AK3,chr9,-,4709560,4742043,13,4707560,4744043,36483
AK4,chr1,+,65147562,65232149,30,65145562,65234149,88587
AK9,chr6,-,109585154,109691217,7,109583154,109693217,110063
AKAP1,chr17,+,57085214,57121342,16,57083214,57123342,40128
AKAP10,chr17,-,19905042,19977827,3,19903042,19979827,76785
AKAP11,chr13,+,42272001,42323266,10,42270001,42325266,55265
AKAP12,chr6,+,151239973,151358540,6,151237973,151360540,122567
AKAP13,chr15,+,85349271,85749356,58,85347271,85751356,404085
AKAP17A,chrX,+,1591607,1602516,3,1589607,1604516,14909
AKAP3,chr12,-,4615514,4649047,5,4613514,4651047,37533
AKAP6,chr14,+,32203576,32833996,36,32201576,32835996,634420
AKAP7,chr6,+,131135469,131283534,3,131133469,131285534,152065
AKAP8,chr19,-,15353530,15379785,3,15351530,15381785,30255
AKAP8L,chr19,-,15380051,15419022,2,15378051,15421022,42971
AKAP9,chr7,+,91940862,92110672,12,91938862,92112672,173810
AKIP1,chr11,+,8911187,8920077,1,8909187,8922077,12890
AKIRIN1,chr1,+,38991245,39007689,11,38989245,39009689,20444
AKIRIN2,chr6,-,87674862,87702275,4,87672862,87704275,31413
AKNA,chr9,-,114336165,114388022,1,114334165,114390022,55857
AKR1A1,chr1,+,45550822,45570048,3,45548822,45572048,23226
AKR1B1,chr7,-,134442357,134459100,1,134440357,134461100,20743
AKR1C2,chr10,-,4987778,5003891,2,4985778,5005891,20113
AKR1C3,chr10,+,5094401,5107680,1,5092401,5109680,17279
AKR7A2,chr1,-,19302873,19312130,2,19300873,19314130,13257
AKT1,chr14,-,104769352,104795551,3,104767352,104797551,30199
AKT1S1,chr19,-,49869042,49877343,3,49867042,49879343,12301
AKT2,chr19,-,40232329,40285365,14,40230329,40287365,57036
AKT3,chr1,-,243499728,243502722,1,243497728,243504722,6994
AKTIP,chr16,-,53490994,53504411,10,53488994,53506411,17417
AKTIP_ENSG00000279722,chr16,-,53487274,53503262,2,53485274,53505262,19988
ALAD,chr9,-,113386313,113401338,9,113384313,113403338,19025
ALAS1,chr3,+,52198130,52214589,6,52196130,52216589,20459
ALCAM,chr3,+,105366712,105576901,5,105364712,105578901,214189
ALDH16A1,chr19,+,49453244,49471048,3,49451244,49473048,21804
ALDH18A1,chr10,-,95605938,95656834,2,95603938,95658834,54896
ALDH1A1,chr9,-,72900672,72953055,2,72898672,72955055,56383
ALDH1A2,chr15,-,57953431,58065884,1,57951431,58067884,116453
ALDH1A3,chr15,+,100879829,100916621,1,100877829,100918621,40792
ALDH1B1,chr9,+,38392702,38398657,5,38390702,38400657,9955
ALDH1L1,chr3,-,126103565,126180890,8,126101565,126182890,81325
ALDH1L1-AS2,chr3,+,126180076,126210166,1,126178076,126212166,34090
ALDH1L2,chr12,-,105019791,105084577,1,105017791,105086577,68786
ALDH2,chr12,+,111766777,111817514,6,111764777,111819514,54737
ALDH3A2,chr17,+,19648150,19685804,17,19646150,19687804,41654
ALDH3B1,chr11,+,68010304,68029274,3,68008304,68031274,22970
ALDH4A1,chr1,-,18871432,18902787,3,18869432,18904787,35355
ALDH5A1,chr6,+,24494800,24537206,7,24492800,24539206,46406
ALDH6A1,chr14,-,74057673,74084463,17,74055673,74086463,30790
ALDH7A1,chr5,-,126541843,126595343,5,126539843,126597343,57500
ALDH9A1,chr1,-,165662223,165698582,2,165660223,165700582,40359
ALDOA,chr16,+,30064323,30070420,4,30062323,30072420,10097
ALDOC,chr17,-,28573126,28576894,2,28571126,28578894,7768
ALG1,chr16,+,5071831,5085586,3,5069831,5087586,17755
ALG10,chr12,+,34022468,34027157,1,34020468,34029157,8689
ALG10B,chr12,+,38316755,38322584,1,38314755,38324584,9829
ALG11,chr13,+,52012398,52032220,9,52010398,52034220,23822
ALG12,chr22,-,49857936,49918451,3,49855936,49920451,64515
ALG13,chrX,+,111681146,111760645,7,111679146,111762645,83499
ALG14,chr1,-,94982812,95072921,1,94980812,95074921,94109
ALG2,chr9,-,99216445,99221959,3,99214445,99223959,9514
ALG3,chr3,-,184242425,184248962,1,184240425,184250962,10537
ALG6,chr1,+,63367635,63437198,1,63365635,63439198,73563
ALG8,chr11,-,78100949,78139619,1,78098949,78141619,42670
ALG9,chr11,-,111782196,111872378,7,111780196,111874378,94182
ALKBH1,chr14,-,77672406,77708022,2,77670406,77710022,39616
ALKBH3,chr11,+,43880831,43920265,1,43878831,43922265,43434
ALKBH4,chr7,-,102456265,102464865,2,102454265,102466865,12600
ALKBH5,chr17,+,18183087,18209951,13,18181087,18211951,30864
ALKBH7,chr19,+,6372804,6375029,1,6370804,6377029,6225
ALKBH8,chr11,-,107502726,107565737,2,107500726,107567737,67011
ALPK1,chr4,+,112297352,112442595,2,112295352,112444595,149243
ALPK2,chr18,-,58481252,58629320,17,58479252,58631320,152068
ALPK3,chr15,+,84817504,84873476,6,84815504,84875476,59972
ALPL,chr1,+,21509399,21578406,2,21507399,21580406,73007
ALS2,chr2,-,201700554,201781081,8,201698554,201783081,84527
ALS2CL,chr3,-,46669187,46693720,5,46667187,46695720,28533
AMACR,chr5,-,33986988,34008105,5,33984988,34010105,25117
AMBRA1,chr11,-,46396411,46594053,4,46394411,46596053,201642
AMD1,chr6,+,110874785,110895710,10,110872785,110897710,24925
AMDHD2,chr16,+,2520340,2531420,4,2518340,2533420,15080
AMFR,chr16,-,56361453,56425531,6,56359453,56427531,68078
AMIGO1,chr1,-,109504177,109509751,3,109502177,109511751,9574
AMIGO3,chr3,-,49716838,49719685,1,49714838,49721685,6847
AMMECR1,chrX,-,110196424,110318086,1,110194424,110320086,125662
AMMECR1L,chr2,-,127861635,127886097,4,127859635,127888097,28462
AMN1,chr12,-,31670840,31729081,3,31668840,31731081,62241
AMOTL1,chr11,+,94706493,94876664,7,94704493,94878664,174171
AMOTL2,chr3,-,134355348,134374573,5,134353348,134376573,23225
AMPD2,chr1,+,109619858,109632049,2,109617858,109634049,16191
AMPD3,chr11,+,10450303,10507124,3,10448303,10509124,60821
AMPH,chr7,-,38383700,38631453,2,38381700,38633453,251753
AMT,chr3,-,49416779,49422473,2,49414779,49424473,9694
AMY2B,chr1,+,103561793,103579525,1,103559793,103581525,21732
AMZ2,chr17,+,68205472,68257154,4,68203472,68259154,55682
AMZ2P1,chr17,-,64968176,64975122,1,64966176,64977122,10946
ANAPC1,chr2,-,111767639,111884193,7,111765639,111886193,120554
ANAPC10,chr4,-,144994374,145098196,1,144992374,145100196,107822
ANAPC11,chr17,+,81891723,81900254,2,81889723,81902254,12531
ANAPC13,chr3,-,134477706,134485990,3,134475706,134487990,12284
ANAPC15,chr11,-,72109588,72112714,1,72107588,72114714,7126
ANAPC16,chr10,+,72216006,72235862,13,72214006,72237862,23856
ANAPC2,chr9,-,137174784,137188959,4,137172784,137190959,18175
ANAPC4,chr4,+,25377232,25418495,4,25375232,25420495,45263
ANAPC5,chr12,-,121308250,121352460,5,121306250,121354460,48210
ANAPC7,chr12,-,110372900,110403720,5,110370900,110405720,34820
ANGEL1,chr14,-,76786181,76812887,2,76784181,76814887,30706
ANGEL2,chr1,-,212992182,213015854,8,212990182,213017854,27672
ANGPT1,chr8,-,107249485,107322008,1,107247485,107324008,76523
ANGPT2,chr8,-,6501573,6563279,2,6499573,6565279,65706
ANGPTL1,chr1,-,178849706,178871108,9,178847706,178873108,25402
ANGPTL2,chr9,-,127087333,127123059,3,127085333,127125059,39726
ANGPTL4,chr19,+,8364156,8374366,2,8362156,8376366,14210
ANGPTL5,chr11,-,101890675,101907967,1,101888675,101909967,21292
ANK1,chr8,-,41653226,41665274,7,41651226,41667274,16048
ANK2,chr4,+,113145619,113383736,10,113143619,113385736,242117
ANK3,chr10,-,60026300,60300655,47,60024300,60302655,278355
ANKFY1,chr17,-,4163825,4263960,5,4161825,4265960,104135
ANKH,chr5,-,14704806,14871970,16,14702806,14873970,171164
ANKHD1,chr5,+,140401811,140539849,28,140399811,140541849,142038
ANKHD1-EIF4EBP3,chr5,+,140526241,140549569,1,140524241,140551569,27328
ANKIB1,chr7,+,92246223,92401381,3,92244223,92403381,159158
ANKLE2,chr12,-,132725669,132761861,10,132723669,132763861,40192
ANKMY1,chr2,-,240521939,240561061,1,240519939,240563061,43122
